,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT
635,AK,99604,480,480,9903,440,8721
636,AK,99605,100,100,3583,60,2067
637,AK,99606,200,200,7323,180,5553
638,AK,99609,180,180,4369,170,3465
639,AK,99610,1110,1110,68477,860,43636
640,AK,99611,6400,6400,451286,5330,308191
641,AK,99612,310,310,13558,260,9776
642,AK,99613,280,280,17278,250,13320
643,AK,99614,260,260,4613,240,4064
644,AK,99615,6270,6270,378961,5420,258672
645,AK,99620,230,230,4888,210,3790
646,AK,99621,240,240,6287,230,5193
647,AK,99622,150,150,3738,130,2623
648,AK,99627,160,160,6205,120,4485
649,AK,99628,230,230,4924,180,2553
650,AK,99630,100,100,2199,90,1758
651,AK,99631,140,140,7663,110,5494
652,AK,99632,290,290,7190,260,5671
653,AK,99633,220,220,11812,190,7455
654,AK,99634,120,120,1867,110,1570
655,AK,99636,210,210,3614,140,2505
656,AK,99637,260,260,5148,240,3999
657,AK,99639,590,590,32302,380,17258
658,AK,99641,180,180,3573,170,2940
659,AK,99645,12920,12920,968035,10640,668656
660,AK,99650,200,200,4572,180,3347
661,AK,99652,1440,1440,98911,1120,61545
662,AK,99653,110,110,6494,90,4019
663,AK,99654,14230,14230,1007487,12140,741398
664,AK,99655,300,300,6063,270,4934
665,AK,99657,110,110,2388,110,1912
666,AK,99658,270,270,7464,240,6079
667,AK,99659,150,140,3762,140,3275
668,AK,99660,170,170,7374,150,5626
669,AK,99661,310,310,16727,240,9156
670,AK,99662,170,170,4331,150,3750
671,AK,99663,210,210,12521,140,5488
672,AK,99664,2290,2290,134016,1940,87993
673,AK,99669,7670,7670,575469,6140,385755
674,AK,99671,190,190,4965,170,3902
675,AK,99672,1660,1660,113692,1220,72778
676,AK,99674,680,680,36119,510,24181
677,AK,99676,920,920,49134,720,29817
678,AK,99678,330,330,7761,230,4939
679,AK,99679,140,140,2059,130,1823
680,AK,99680,160,160,3407,150,2582
681,AK,99681,180,180,2601,160,2050
682,AK,99683,250,250,11239,180,6462
683,AK,99684,330,330,17802,300,14093
684,AK,99685,470,470,34950,420,30243
685,AK,99686,1980,1980,154113,1720,116932
686,AK,99688,1290,1290,72536,930,43807
687,AK,99689,230,230,11957,190,8600
688,AK,99692,1370,1370,76270,1330,69081
689,AK,99693,140,140,6347,110,4739
690,AK,99694,220,220,10863,170,7853
691,AK,99701,7940,7940,437933,6870,313880
692,AK,99702,1280,1280,53533,1260,51185
693,AK,99703,3600,3600,132865,3590,129747
694,AK,99705,8900,8900,577914,7940,457523
695,AK,99706,770,770,62363,630,38252
696,AK,99709,10690,10690,825908,9360,570704
697,AK,99712,4360,4360,345311,3730,252164
698,AK,99714,460,460,28041,350,18699
699,AK,99720,100,100,2275,90,1624
700,AK,99721,160,160,5144,130,4019
701,AK,99723,2360,2360,140721,1710,116521
702,AK,99727,150,150,4687,140,4045
703,AK,99729,120,120,6031,100,4044
704,AK,99737,1870,1870,118715,1510,81261
705,AK,99740,330,330,9674,250,7461
706,AK,99741,260,260,13038,210,10589
707,AK,99742,170,170,4568,170,3599
708,AK,99743,570,570,39273,500,28238
709,AK,99746,140,140,2944,120,2212
710,AK,99747,140,140,5876,100,4770
711,AK,99749,120,120,5333,110,3565
712,AK,99750,130,130,4144,120,3449
713,AK,99752,1190,1190,78834,1110,67305
714,AK,99753,120,120,2454,110,1995
715,AK,99755,260,260,15508,240,10650
716,AK,99760,350,350,19230,290,12334
717,AK,99761,190,190,7898,170,6681
718,AK,99762,1750,1750,113837,1590,92506
719,AK,99763,160,160,5903,160,4766
720,AK,99765,150,150,3419,110,2519
721,AK,99766,330,330,9678,230,7920
722,AK,99769,210,210,5103,200,4406
723,AK,99770,190,190,5667,170,4552
724,AK,99772,200,200,5842,180,4402
725,AK,99777,130,130,4017,100,2712
726,AK,99780,790,790,39412,650,27091
727,AK,99782,290,290,9557,200,6963
728,AK,99785,150,150,3496,130,3033
729,AK,99786,120,120,4126,110,3470
730,AK,99789,230,230,9261,180,5349
731,AK,99791,170,170,4360,100,3544
732,AK,99801,11910,11910,860726,10310,590425
733,AK,99820,170,170,5220,140,3968
734,AK,99824,1180,1180,90664,980,56282
735,AK,99826,280,280,15039,210,7823
736,AK,99827,1270,1270,77913,940,37854
737,AK,99829,390,390,15891,310,10872
738,AK,99830,200,200,6951,170,5401
739,AK,99833,1660,1660,103449,1240,53630
740,AK,99835,4440,4440,297692,3550,171443
741,AK,99840,770,770,45511,670,30722
742,AK,99901,6300,6300,406259,5330,266553
743,AK,99919,260,260,13079,220,9295
744,AK,99921,830,830,49618,670,29550
745,AK,99922,110,110,4531,100,3401
746,AK,99925,430,430,23002,380,15829
747,AK,99926,550,550,23294,490,19469
748,AK,99929,1070,1070,53652,810,34205
751,AZ,85003,3900,3900,290006,3380,210165
752,AZ,85004,2960,2960,232765,2590,155149
753,AZ,85006,9680,9680,352359,8680,301741
754,AZ,85007,5300,5300,278695,4700,200698
755,AZ,85008,23140,23140,797391,21020,686766
756,AZ,85009,15940,15940,443128,14040,369026
757,AZ,85012,3800,3800,407578,3170,246484
758,AZ,85013,9800,9800,707257,8420,496083
759,AZ,85014,12160,12160,765897,10520,525555
760,AZ,85015,15590,15590,545591,13730,448183
761,AZ,85016,17560,17560,1677786,14730,958092
762,AZ,85017,14110,14110,376062,12470,320238
763,AZ,85018,17200,17200,2507921,14000,1419730
764,AZ,85019,10240,10240,311612,9010,256676
765,AZ,85020,15970,15970,1162716,12730,730625
766,AZ,85021,16180,16180,1031283,13630,666850
767,AZ,85022,23110,23110,1416256,19500,1013417
768,AZ,85023,15340,15340,907859,13240,663328
769,AZ,85024,12050,12050,774926,10620,646462
770,AZ,85027,17710,17710,872651,15910,733507
771,AZ,85028,10090,10090,1062222,7750,651760
772,AZ,85029,19460,19460,784961,16830,626407
773,AZ,85031,11560,11560,322550,10320,277565
774,AZ,85032,30860,30860,1646489,26500,1303849
775,AZ,85033,21280,21280,615610,18970,532773
776,AZ,85034,2090,2090,81778,1900,66188
777,AZ,85035,19510,19510,549251,17790,491389
778,AZ,85037,19830,19830,708537,17940,617833
779,AZ,85040,11580,11580,362724,10530,316057
780,AZ,85041,24170,24170,923249,21850,802619
781,AZ,85042,18060,18060,850795,16170,703534
782,AZ,85043,12720,12720,482662,11710,418783
783,AZ,85044,19910,19910,1572396,16960,1130393
784,AZ,85045,3330,3330,407820,2940,322461
785,AZ,85048,16170,16170,1717586,14110,1265117
786,AZ,85050,13920,13920,1404331,11620,1023768
787,AZ,85051,18110,18110,633245,15750,512188
788,AZ,85053,13590,13590,602778,11730,477036
789,AZ,85054,3640,3640,335775,3100,246208
790,AZ,85083,7980,7980,811272,6990,630127
791,AZ,85085,10650,10650,977393,9350,768300
792,AZ,85086,17160,17160,1517264,13850,1037821
793,AZ,85087,3880,3880,304877,3070,211510
794,AZ,85118,5300,5300,459022,3000,196499
795,AZ,85119,8160,8160,422299,6090,276969
796,AZ,85120,10810,10810,419037,8270,292260
797,AZ,85121,750,750,20892,690,17317
798,AZ,85122,19980,19980,893721,16760,666944
799,AZ,85123,3690,3690,138896,2910,100633
800,AZ,85128,5380,5380,215822,4610,161321
801,AZ,85131,3980,3980,161827,3220,97684
802,AZ,85132,7640,7640,376185,5770,245966
803,AZ,85135,190,190,7584,150,5873
804,AZ,85137,780,780,34882,610,25730
805,AZ,85138,15070,15070,833646,12970,660517
806,AZ,85139,7100,7100,341695,6210,282244
807,AZ,85140,14330,14330,823243,12520,656555
808,AZ,85142,25800,25800,1986140,22620,1526402
809,AZ,85143,14280,14280,715835,12360,577901
810,AZ,85145,900,900,47299,790,39958
811,AZ,85147,1930,1930,60498,1720,49326
812,AZ,85172,740,740,28089,680,23866
813,AZ,85173,960,960,39723,750,28998
814,AZ,85192,480,480,19684,360,13715
815,AZ,85193,1210,1210,43454,1050,33660
816,AZ,85194,2400,2400,155427,1670,82956
817,AZ,85201,20310,20310,741899,17980,600900
818,AZ,85202,18250,18250,810117,16290,652942
819,AZ,85203,15170,15170,783237,12900,558706
820,AZ,85204,25150,25150,1003571,22080,812841
821,AZ,85205,17720,17720,1110342,13770,706574
822,AZ,85206,15250,15250,775216,11140,500541
823,AZ,85207,20120,20120,1655501,16620,1128314
824,AZ,85208,14530,14530,633359,11480,471720
825,AZ,85209,17170,17170,1018546,13030,694911
826,AZ,85210,16400,16400,639122,14750,528446
827,AZ,85212,14850,14850,1069706,13190,878221
828,AZ,85213,14290,14290,1162828,11840,748267
829,AZ,85215,7680,7680,591774,5430,353152
830,AZ,85224,22340,22340,1369684,19640,1100741
831,AZ,85225,32130,32130,1686296,28760,1392715
832,AZ,85226,18790,18790,1485945,16800,1144168
833,AZ,85233,17790,17790,1258570,15620,989135
834,AZ,85234,21760,21760,1725705,18780,1250345
835,AZ,85248,16800,16800,1787216,10620,965741
836,AZ,85249,18720,18720,2110080,15340,1568089
837,AZ,85250,9050,9050,808866,6730,461409
838,AZ,85251,20450,20450,1931191,16670,1182794
839,AZ,85253,8080,8080,3816652,5620,1369927
840,AZ,85254,22930,22930,2524184,18450,1691567
841,AZ,85255,20030,20030,4621284,14450,2305027
842,AZ,85256,2120,2120,84258,1360,44104
843,AZ,85257,14990,14990,814483,12320,626027
844,AZ,85258,12570,12570,1730005,8560,871112
845,AZ,85259,10560,10560,1817035,8120,1076047
846,AZ,85260,18880,18880,2169552,14700,1296413
847,AZ,85262,5380,5380,1751971,3560,705420
848,AZ,85263,1010,1010,143177,410,40720
849,AZ,85264,690,690,48193,370,17812
850,AZ,85266,5050,5050,1091206,3270,493770
851,AZ,85268,10950,10950,1153225,7480,615081
852,AZ,85281,21290,21290,997509,19610,822937
853,AZ,85282,24450,24450,1240870,21000,910919
854,AZ,85283,21590,21590,1179223,18970,908680
855,AZ,85284,9620,9620,1367529,7940,798778
856,AZ,85286,18460,18460,1816290,16550,1486623
857,AZ,85295,19360,19360,1569852,17550,1258846
858,AZ,85296,19790,19790,1563271,17630,1235754
859,AZ,85297,12970,12970,1175802,11570,906605
860,AZ,85298,14620,14620,1558318,12100,1121370
861,AZ,85301,22810,22810,650845,20290,547454
862,AZ,85302,17200,17200,700162,14730,545071
863,AZ,85303,13220,13220,511962,11780,421598
864,AZ,85304,12170,12170,652615,10320,494766
865,AZ,85305,5710,5710,315651,5110,256448
866,AZ,85306,10910,10910,542104,9220,408530
867,AZ,85307,4030,4030,177535,3680,147075
868,AZ,85308,30300,30300,2028470,25640,1510085
869,AZ,85309,340,340,7378,340,7390
870,AZ,85310,9190,9190,795698,7850,560346
871,AZ,85320,330,330,11783,280,8711
872,AZ,85321,1270,1270,47367,960,32580
873,AZ,85322,250,250,11428,210,9013
874,AZ,85323,16920,16920,669389,15650,593926
875,AZ,85324,1120,1120,48995,810,31222
876,AZ,85325,290,290,9666,180,4546
877,AZ,85326,23110,23110,1086829,20530,896140
878,AZ,85331,13160,13160,1610865,10330,1072818
879,AZ,85332,660,660,26802,380,12299
880,AZ,85333,190,190,6255,160,5340
881,AZ,85334,340,340,14708,280,11134
882,AZ,85335,13870,13870,521719,12650,452085
883,AZ,85336,320,320,8514,290,6815
884,AZ,85337,940,940,33856,890,28774
885,AZ,85338,22740,22740,1379755,19900,1086986
886,AZ,85339,18560,18560,936705,16920,798889
887,AZ,85340,13010,13010,1059256,10990,750186
888,AZ,85341,170,170,6703,70,2262
889,AZ,85342,500,500,30647,360,17791
890,AZ,85343,110,110,7000,90,3860
891,AZ,85344,4030,4030,166704,3300,111626
892,AZ,85345,25220,25220,1081203,22110,895458
893,AZ,85346,580,580,19085,320,8469
894,AZ,85347,170,170,10800,150,4498
895,AZ,85348,620,620,24035,380,11885
896,AZ,85349,19490,19490,464910,18780,408241
897,AZ,85350,7200,7200,241124,6800,211208
898,AZ,85351,13930,13930,654380,5340,181020
899,AZ,85352,230,230,9308,210,7039
900,AZ,85353,16010,16010,648693,14740,567320
901,AZ,85354,2470,2470,106249,2100,86119
902,AZ,85355,4930,4930,361314,4220,265497
903,AZ,85356,1280,1280,59582,980,37911
904,AZ,85357,160,160,4844,120,3607
905,AZ,85360,100,100,3924,80,2408
906,AZ,85361,2590,2590,129945,2150,96830
907,AZ,85362,200,200,7945,120,3464
908,AZ,85363,2780,2780,99882,2280,80032
909,AZ,85364,27720,27720,1304893,24510,909245
910,AZ,85365,17670,17670,1002798,14780,714330
911,AZ,85367,6990,6990,378897,4370,215349
912,AZ,85373,8220,8220,453348,4410,226682
913,AZ,85374,17910,17910,1033472,10900,483556
914,AZ,85375,13390,13390,857708,3690,146244
915,AZ,85377,1840,1840,378896,980,108445
916,AZ,85379,18140,18140,1066461,16010,867393
917,AZ,85381,12300,12300,791320,10090,556565
918,AZ,85382,19310,19310,1236490,14810,845370
919,AZ,85383,23770,23770,2554689,20050,1774143
920,AZ,85387,5100,5100,357393,3030,159608
921,AZ,85388,11080,11080,658012,9690,537957
922,AZ,85390,2900,2900,176544,1900,81818
923,AZ,85392,16430,16430,850212,14720,704712
924,AZ,85395,12810,12810,1102143,9270,657217
925,AZ,85396,8840,8840,702586,6770,459105
926,AZ,85501,3260,3260,150549,2640,111272
927,AZ,85530,590,590,14476,550,13267
928,AZ,85531,190,190,13161,140,9550
929,AZ,85533,950,950,49135,820,40486
930,AZ,85534,870,870,41352,720,31699
931,AZ,85536,120,120,5425,90,4132
932,AZ,85539,980,980,42301,780,29637
933,AZ,85540,1500,1500,98080,1480,94647
934,AZ,85541,9140,9140,490243,5960,244206
935,AZ,85542,870,870,23799,780,20696
936,AZ,85543,1270,1270,64566,1080,50398
937,AZ,85544,1170,1170,71054,660,29380
938,AZ,85545,170,170,7484,110,3863
939,AZ,85546,5720,5720,276750,4890,216004
940,AZ,85550,1640,1640,46073,1530,39797
941,AZ,85551,210,210,8391,170,6287
942,AZ,85552,2400,2400,141326,2040,106061
943,AZ,85553,570,570,27049,300,11084
944,AZ,85554,210,210,9892,120,4328
945,AZ,85601,250,250,8953,170,4560
946,AZ,85602,3870,3870,181008,2720,116962
947,AZ,85603,2730,2730,118671,1790,64116
948,AZ,85605,200,200,7774,170,5483
949,AZ,85606,320,320,14347,200,8236
950,AZ,85607,6380,6380,194822,5410,153622
951,AZ,85608,750,750,23750,570,15377
952,AZ,85609,110,110,5596,70,3093
953,AZ,85610,380,380,17965,280,10638
954,AZ,85611,370,370,19066,210,9356
955,AZ,85613,1330,1330,55360,1330,54434
956,AZ,85614,10940,10940,684675,4270,171860
957,AZ,85615,3860,3860,247075,2810,150671
958,AZ,85616,2070,2070,91345,1600,64048
959,AZ,85617,370,370,15866,270,10435
960,AZ,85618,560,560,20603,450,15756
961,AZ,85620,460,460,10699,400,8438
962,AZ,85621,8860,8860,299745,7310,209209
963,AZ,85622,3360,3360,245781,1050,45870
964,AZ,85623,2140,2140,141512,1400,67892
965,AZ,85624,540,540,28580,320,11594
966,AZ,85625,670,670,29385,360,13102
967,AZ,85626,430,430,10532,370,8628
968,AZ,85627,160,160,6770,110,4750
969,AZ,85629,11270,11270,721429,9680,577146
970,AZ,85630,920,920,50716,670,31942
971,AZ,85631,1220,1220,47707,980,36300
972,AZ,85632,260,260,10978,170,5699
973,AZ,85634,2080,2080,71500,1930,63036
974,AZ,85635,14700,14700,755259,11660,527506
975,AZ,85637,660,660,55078,370,23240
976,AZ,85638,820,820,30292,560,15978
977,AZ,85640,300,300,16950,200,7966
978,AZ,85641,10880,10880,844044,9180,637274
979,AZ,85643,2540,2540,104568,2100,75065
980,AZ,85645,770,770,28163,590,19171
981,AZ,85646,640,640,68575,340,23141
982,AZ,85648,8010,8010,351236,6850,269130
983,AZ,85650,6430,6430,460640,4440,268457
984,AZ,85653,6250,6250,326691,5480,266487
985,AZ,85658,6080,6080,576001,4430,337417
986,AZ,85701,2640,2640,138316,2080,89212
987,AZ,85704,15710,15710,1056031,11520,629413
988,AZ,85705,20680,20680,599217,17860,477137
989,AZ,85706,20490,20490,567920,18250,488863
990,AZ,85707,460,460,8378,460,8432
991,AZ,85708,1200,1200,53847,1160,50476
992,AZ,85710,25960,25960,1104754,20300,757828
993,AZ,85711,17430,17430,726624,14550,528697
994,AZ,85712,14030,14030,618422,11260,415964
995,AZ,85713,17850,17850,566539,14960,427076
996,AZ,85714,5500,5500,150301,4770,124739
997,AZ,85715,9080,9080,705734,6460,360856
998,AZ,85716,13960,13960,676642,11530,449802
999,AZ,85718,13640,13640,2143301,9300,975475
1000,AZ,85719,14400,14400,608969,12350,426557
1001,AZ,85730,17530,17530,750801,14510,562483
1002,AZ,85735,4180,4180,181058,3350,131337
1003,AZ,85736,1400,1400,51593,1140,39106
1004,AZ,85737,10820,10820,977485,7710,589922
1005,AZ,85739,8410,8410,647482,4390,210591
1006,AZ,85741,15420,15420,753603,13150,586095
1007,AZ,85742,12800,12800,875553,10520,617449
1008,AZ,85743,12820,12820,863196,10130,601434
1009,AZ,85745,16130,16130,964079,13030,629177
1010,AZ,85746,17150,17150,635800,14860,502247
1011,AZ,85747,10860,10860,743440,9470,585491
1012,AZ,85748,9290,9290,652994,7190,421808
1013,AZ,85749,8990,8990,938647,6390,515444
1014,AZ,85750,11890,11890,1491152,8220,764044
1015,AZ,85755,7530,7530,815507,4430,407124
1016,AZ,85756,12360,12360,494236,10550,393763
1017,AZ,85757,8030,8030,339589,7270,287774
1018,AZ,85901,5900,5900,296947,4500,185893
1019,AZ,85911,420,420,8998,410,8001
1020,AZ,85912,150,150,4932,90,2624
1021,AZ,85920,230,230,13180,130,4763
1022,AZ,85923,160,160,5924,130,4442
1023,AZ,85924,720,720,30432,500,16832
1024,AZ,85925,1510,1510,78296,1190,56261
1025,AZ,85926,610,610,17286,580,15342
1026,AZ,85928,500,500,25838,340,13670
1027,AZ,85929,3300,3300,166233,2460,103585
1028,AZ,85930,250,250,5844,230,5312
1029,AZ,85932,140,140,7639,80,2994
1030,AZ,85933,1080,1080,53866,570,23679
1031,AZ,85934,180,180,9230,110,4338
1032,AZ,85935,1950,1950,124123,1420,67703
1033,AZ,85936,1310,1310,61160,980,41648
1034,AZ,85937,2930,2930,141469,2250,97232
1035,AZ,85938,960,960,46144,760,32566
1036,AZ,85939,1450,1450,70462,1180,50408
1037,AZ,85940,450,450,22096,310,12210
1038,AZ,85941,2520,2520,71351,2410,63138
1039,AZ,86001,11880,11880,803541,10500,476679
1040,AZ,86003,1130,1130,62442,930,39282
1041,AZ,86004,17140,17140,969623,14840,705303
1042,AZ,86015,400,400,25322,370,21440
1043,AZ,86017,460,460,27730,320,13004
1044,AZ,86018,430,430,28460,330,20363
1045,AZ,86020,700,700,19165,630,16262
1046,AZ,86021,1770,1770,54021,1620,46697
1047,AZ,86022,730,730,24999,610,18400
1048,AZ,86023,1360,1360,52979,1360,49165
1049,AZ,86024,260,260,19885,140,7698
1050,AZ,86025,2160,2160,84938,1850,62645
1051,AZ,86030,370,370,10826,310,8350
1052,AZ,86031,450,450,13589,410,11997
1053,AZ,86032,500,500,24158,420,18104
1054,AZ,86033,3120,3120,113475,2850,104388
1055,AZ,86034,630,630,20347,560,16955
1056,AZ,86035,650,650,20085,610,17592
1057,AZ,86036,160,160,5501,150,3689
1058,AZ,86039,550,550,18019,490,15133
1059,AZ,86040,4650,4650,253359,4160,185870
1060,AZ,86042,540,540,17049,460,14253
1061,AZ,86043,560,560,15160,490,12523
1062,AZ,86044,1140,1140,37936,1040,34056
1063,AZ,86045,4110,4110,155223,3680,133117
1064,AZ,86046,2630,2630,119171,2170,80836
1065,AZ,86047,4760,4760,187650,4160,150310
1066,AZ,86053,820,820,27852,760,24908
1067,AZ,86054,560,560,21944,510,19568
1068,AZ,86301,10870,10870,693706,6750,317351
1069,AZ,86303,8290,8290,614930,5160,249328
1070,AZ,86305,8700,8700,732167,5100,283966
1071,AZ,86314,15880,15870,670310,12150,444946
1072,AZ,86315,3780,3780,260231,2540,142854
1073,AZ,86320,690,690,24510,540,16761
1074,AZ,86321,780,780,49859,730,46181
1075,AZ,86322,4970,4970,218262,3710,135779
1076,AZ,86323,7800,7800,361369,5740,226317
1077,AZ,86324,1950,1950,101136,1380,60470
1078,AZ,86325,2460,2460,147994,1620,75429
1079,AZ,86326,10770,10770,481457,7970,300134
1080,AZ,86327,4680,4680,248882,2910,129479
1081,AZ,86329,570,570,23746,440,15761
1082,AZ,86331,290,290,10922,210,6055
1083,AZ,86332,580,580,23296,380,12908
1084,AZ,86333,2010,2010,76330,1440,51772
1085,AZ,86334,1690,1690,71017,1280,45379
1086,AZ,86335,1830,1830,72657,1360,48022
1087,AZ,86336,5360,5360,452431,3160,162568
1088,AZ,86337,500,500,19336,390,12303
1089,AZ,86338,230,230,16231,140,6251
1090,AZ,86351,2930,2930,246846,1590,90040
1091,AZ,86401,10020,10020,526557,7790,347276
1092,AZ,86403,7090,7090,318082,5260,185906
1093,AZ,86404,7000,7000,373690,4570,187472
1094,AZ,86406,9930,9930,590446,6610,302815
1095,AZ,86409,9500,9500,378946,7410,258666
1096,AZ,86413,3250,3250,112828,2310,73329
1097,AZ,86426,5780,5780,261955,4260,165276
1098,AZ,86429,2990,2990,148222,2030,75846
1099,AZ,86431,90,90,3510,40,1518
1100,AZ,86432,700,700,25813,500,14691
1101,AZ,86434,580,580,21818,550,17917
1102,AZ,86435,130,130,3180,130,2858
1103,AZ,86436,660,660,25600,390,13171
1104,AZ,86438,260,260,10764,150,5687
1105,AZ,86440,2500,2500,100661,1860,64207
1106,AZ,86441,510,510,15623,340,8790
1107,AZ,86442,12490,12490,447437,9480,277656
1108,AZ,86444,380,380,14933,180,5209
1109,AZ,86445,120,120,4423,80,2867
1110,AZ,86502,300,300,8974,260,7215
1111,AZ,86503,3660,3660,132473,3300,118888
1112,AZ,86504,1480,1480,65660,1250,55407
1113,AZ,86505,1610,1610,53912,1440,47533
1114,AZ,86506,300,300,8757,260,8140
1115,AZ,86507,560,560,16478,500,15168
1116,AZ,86508,180,180,4846,160,4289
1117,AZ,86510,1280,1280,41960,1170,38922
1118,AZ,86511,1070,1070,36732,930,31079
1119,AZ,86512,750,750,25482,660,21331
1120,AZ,86514,800,800,27259,710,23155
1121,AZ,86515,5820,5820,190216,5310,163609
1122,AZ,86520,490,490,12951,430,11684
1123,AZ,86535,300,300,8464,260,7437
1124,AZ,86538,490,490,16478,440,14337
1125,AZ,86540,190,190,4984,170,4699
1126,AZ,86544,180,180,5468,150,4271
