,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT
19521,NC,28771,3230,3230,128596,2590,88312
19522,NC,28772,830,830,29769,630,19951
19523,NC,28773,1480,1480,83484,1040,46770
19524,NC,28774,480,480,35243,310,15289
19525,NC,28775,250,250,15029,180,6853
19526,NC,28777,3640,3640,159838,2960,111255
19527,NC,28778,4710,4710,208698,3890,147750
19528,NC,28779,6550,6550,311056,5370,211478
19529,NC,28781,330,330,12763,230,7851
19530,NC,28782,2730,2730,183145,1740,84016
19531,NC,28783,530,530,21027,390,12744
19532,NC,28785,3320,3320,176354,2470,107705
19533,NC,28786,9110,9110,492664,6870,283774
19534,NC,28787,10020,10020,576569,7920,360526
19535,NC,28789,2620,2620,109797,2040,73313
19536,NC,28790,1300,1300,75769,1050,46842
19537,NC,28791,6640,6640,391164,4610,215694
19538,NC,28792,14070,14070,647471,10650,394853
19539,NC,28801,6780,6780,422881,5600,242777
19540,NC,28803,15560,15560,1300997,11870,699668
19541,NC,28804,10320,10320,860376,7650,445389
19542,NC,28805,9100,9100,521948,6870,310444
19543,NC,28806,20270,20270,899922,17120,650504
19544,NC,28901,2000,2000,78113,1630,54867
19545,NC,28902,590,590,30479,400,17674
19546,NC,28904,3570,3570,171719,2600,97795
19547,NC,28905,1190,1190,45618,950,32578
19548,NC,28906,7810,7810,341036,5670,204277
19549,NC,28909,420,420,15581,310,9476
19552,ND,58001,140,140,7043,120,5725
19553,ND,58004,110,110,7168,80,3473
19554,ND,58005,330,330,36038,290,22509
19555,ND,58006,210,210,18645,180,8462
19556,ND,58008,120,120,8539,90,3894
19557,ND,58011,220,220,16370,170,8695
19558,ND,58012,1190,1190,96172,1050,63008
19559,ND,58015,170,170,11739,160,8033
19560,ND,58017,120,120,8425,100,3687
19561,ND,58018,170,170,14248,140,8010
19562,ND,58021,220,220,14124,190,10177
19563,ND,58027,670,670,37984,550,24472
19564,ND,58030,320,320,21865,260,10899
19565,ND,58031,190,190,10535,150,6053
19566,ND,58032,350,350,22660,270,12278
19567,ND,58033,180,180,13942,160,7831
19568,ND,58035,130,130,9928,110,3917
19569,ND,58036,130,130,8198,100,5928
19570,ND,58038,170,170,12156,160,8494
19571,ND,58040,530,530,30728,460,22026
19572,ND,58041,730,730,41591,600,25727
19573,ND,58042,740,740,58653,680,43340
19574,ND,58045,1070,1070,74948,910,48107
19575,ND,58046,260,260,20838,230,9558
19576,ND,58047,1780,1780,195314,1630,133744
19577,ND,58048,260,260,16904,220,10637
19578,ND,58049,140,140,9686,110,3837
19579,ND,58051,750,750,75097,670,44211
19580,ND,58052,300,300,17893,230,10539
19581,ND,58053,540,540,28732,410,15580
19582,ND,58054,1560,1560,92297,1270,60968
19583,ND,58059,730,730,50926,660,37647
19584,ND,58060,600,600,38389,490,22873
19585,ND,58061,220,220,14918,190,8788
19586,ND,58063,150,150,9845,130,4754
19587,ND,58064,200,200,16979,150,5851
19588,ND,58067,120,120,7269,100,4032
19589,ND,58068,150,150,8178,120,4541
19590,ND,58071,200,200,12989,150,7337
19591,ND,58072,3680,3680,222494,3060,135331
19592,ND,58075,4010,4010,245375,3470,161637
19593,ND,58077,370,370,30907,320,20085
19594,ND,58078,17540,17540,1341370,16000,1039804
19595,ND,58079,270,270,20097,220,11441
19596,ND,58081,410,410,26277,330,15479
19597,ND,58102,13650,13650,895002,12110,597713
19598,ND,58103,24520,24520,1418688,21910,956848
19599,ND,58104,20870,20870,1767962,18660,1246439
19600,ND,58105,110,110,1760,110,1676
19601,ND,58201,19740,19740,1452223,17430,971047
19602,ND,58202,130,130,1691,130,1596
19603,ND,58203,6900,6900,316792,6370,253492
19604,ND,58204,500,500,24435,500,23964
19605,ND,58205,110,110,2082,110,2079
19606,ND,58210,160,160,9534,110,4456
19607,ND,58212,210,210,12110,150,5491
19608,ND,58214,200,200,12353,160,7565
19609,ND,58218,360,360,26230,310,17276
19610,ND,58220,1100,1100,73720,910,43596
19611,ND,58222,130,130,7841,120,4264
19612,ND,58223,100,100,7328,80,3806
19613,ND,58225,480,480,31739,400,18251
19614,ND,58227,240,240,14562,200,7756
19615,ND,58228,470,470,24892,420,17112
19616,ND,58230,300,300,20658,250,10478
19617,ND,58231,180,180,11472,140,6281
19618,ND,58233,180,180,11964,160,6827
19619,ND,58235,200,200,12165,170,7513
19620,ND,58237,2520,2520,139119,2140,89130
19621,ND,58240,560,560,37299,440,22244
19622,ND,58243,270,270,20963,210,9236
19623,ND,58249,1260,1260,86151,960,41938
19624,ND,58250,90,90,4556,70,2172
19625,ND,58251,980,980,60449,830,36898
19626,ND,58254,260,260,14055,190,7347
19627,ND,58256,450,450,28369,390,19411
19628,ND,58257,950,950,60255,770,38227
