,STATE,ZIP Code,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT,Brewery,Address,City,State
29670,VA,22504,120.0,120.0,5252.0,90.0,3627.0,,,,
29671,VA,22508,6520.0,6520.0,455661.0,4960.0,283621.0,,,,
29672,VA,22511,670.0,670.0,38237.0,470.0,16444.0,,,,
29673,VA,22514,1120.0,1120.0,57107.0,970.0,42758.0,,,,
29674,VA,22520,2480.0,2480.0,132705.0,1970.0,84127.0,montross brewery,15381 kings hwy,Montross,VA
29675,VA,22534,1320.0,1320.0,73129.0,1180.0,60471.0,,,,
29676,VA,22535,320.0,320.0,21966.0,260.0,13885.0,,,,
29677,VA,22538,160.0,160.0,6835.0,120.0,4665.0,,,,
29678,VA,22539,1020.0,1020.0,76814.0,620.0,28822.0,,,,
29679,VA,22542,920.0,920.0,50320.0,780.0,39971.0,,,,
29680,VA,22546,7880.0,7880.0,423763.0,7060.0,350879.0,,,,
29681,VA,22551,8980.0,8980.0,685156.0,7730.0,474848.0,,,,
29682,VA,22553,7330.0,7330.0,590054.0,6380.0,435408.0,1781 brewing company,11109 plank rd,Spotsylvania,VA
29683,VA,22554,25370.0,25370.0,2100286.0,23140.0,1684466.0,barley naked brewing company,15 tech pkwy suite 109,Stafford,VA
29684,VA,22556,12550.0,12550.0,1003519.0,11230.0,806593.0,,,,
29685,VA,22560,3220.0,3220.0,169562.0,2710.0,110018.0,,,,
29686,VA,22567,1380.0,1380.0,76544.0,1190.0,58078.0,,,,
29687,VA,22572,2590.0,2590.0,125108.0,2150.0,86900.0,,,,
29688,VA,22576,710.0,710.0,44062.0,520.0,24834.0,,,,
29689,VA,22578,1170.0,1170.0,100476.0,810.0,45379.0,,,,
29690,VA,22579,230.0,230.0,19115.0,140.0,5643.0,,,,
29691,VA,22580,2270.0,2270.0,116632.0,1970.0,88520.0,,,,
29692,VA,22601,13430.0,13430.0,808314.0,11400.0,546346.0,alesatian brewing co.,21 n loudoun st,Winchester,VA
29693,VA,22601,13430.0,13430.0,808314.0,11400.0,546346.0,broken window brewing company llc.,14 w boscawen st,Winchester,VA
29694,VA,22601,13430.0,13430.0,808314.0,11400.0,546346.0,escutcheon brewing co.,142 w commercial st,Winchester,VA
29695,VA,22601,13430.0,13430.0,808314.0,11400.0,546346.0,winchester brew works llc,320 n cameron st,Winchester,VA
29696,VA,22602,13950.0,13950.0,971283.0,12010.0,729400.0,,,,
29697,VA,22603,7150.0,7150.0,472007.0,5580.0,290594.0,,,,
29698,VA,22610,950.0,950.0,63013.0,750.0,41831.0,,,,
