,Brewery,Address,City,State,ZIP Code
1308,"Brewery in Planning - Gypsum, CO",,Gypsum,CO,81637
1309,Brewery In Planning - Loveland,,Loveland,CO,80537
1310,"Brewery in Planning - Salida, CO",,Salida,CO,81201
1331,Camber Brewing Company,,Fraser,CO,80442
1343,Chrysalis Barrel Aged Beer,,Paonia,CO,81428
1356,Comet Brews,,Littleton,CO,80120
1365,Crooked Stave Artisan Beer Project,,Fort Collins,CO,80524
1372,Dauntless Brewing Company,,Colorado Springs,CO,80903
1376,Dented Face Brewing Company,,Delta,CO,81416
1386,Donavon Brewing Company,,Arvada,CO,80005
1409,Faults Brewing,,Castle Pines,CO,80108
1417,Foam & Folly Brewing,,Grand Junction,CO,81501
1419,Fraser River Beer Company,,Fraser,CO,80442
1422,Full Metal Canning,,Longmont,CO,80504
1433,Golden Gate Brewing Company,,Colorado Springs,CO,80919
1460,Holidaily Production Facility,,Golden,CO,80403
1464,Incline Brewing,,Larkspur,CO,80118
1480,Kanook Beer Company,,Golden,CO,80403
1496,Lonesome Buck Brewing Co,,Greeley,CO,80631
1498,Los Dos Potrillos Mexican Restaurant y Cervecería,,Parker,CO,80138
1501,LUKI Brewery,,Wheatridge,CO,
1504,Madman Brewing LLC,,Loveland,CO,80537
1509,Mascher Brewing Co.,,Aurora,CO,80014
1513,"McOva Craft Beer Works, LLC",,Castle Rock,CO,80104
1530,New Image Brewing Co,,Wheat Ridge,CO,80033
1546,Out World Brewing,,Longmont,CO,80504
1548,Over Yonder Brewing Company,,Golden,CO,80401
1557,Peak View Brewing Company,,Greenwood Village,CO,80112
1569,Prost Brewing Fort Collins,,Fort Collins,CO,80524
1573,Raices Brewing Co,,Denver,CO,80204
1580,Red Truck Beer Company,,Denver,CO,80216
1584,Renegade Brewing Company - Production,918 W 1st Ave,Denver,CO,80223
1586,Rhythm River Brewing Company,,Longmont,CO,80504
1589,River North Brewery - RiNo,,Denver,CO,80205
1627,SS Fermentations Ltd.,,Montrose,CO,81401
1631,Stoik Beer Company,,Delta,CO,81416
1637,Teachers Lounge Brewing,,Denver,CO,80210
1640,The Barn Brewery,,Greenwood Village,CO,80111
1660,TRVE Brewing Co. - The Acid Temple,2600 W. 2nd Ave Unit 8,Denver,CO,80219
1665,"Unnamed Beer Company, LLC",,Boulder,CO,80301
1666,Upslope Brewing Company,,Boulder,CO,80301
1682,Westbound and Down,,Denver,CO,80204
1693,World's End Brewing Company,401 Main St,Canon City,CO,81212
1703,Asylum Hall Brewery,,Newtown,CT,06470
1711,Beer'd Brewing Company,,Groton,CT,06340
1712,Better Half Brewing,,Bristol,CT,06010
1726,Church Owl Beer,,Stratford,CT,06615
1730,Coles Road Brewing,,Cromwell,CT,06416
1734,Dockside Waterfront Biergarten and Brewery,,Milford,CT,06460
1735,Dudleytown Brewing Company,,Windsor,CT,
1740,Fat Orange Cat Brew Co,,East Hampton,CT,06424
1741,Fifth Year Brewery,,West Haven,CT,06516
1748,Great New London Brewing Co / Safe Harbor Brewing,,New London,CT,
1751,HIGH NINE BREWING,,DEEP RIVER,CT,06417
1753,Hops On the Hill Farm Brewery,,South Glastonbury,CT,06073
1755,"HRG Management, LLC",,Hartford,CT,06109
1777,Pie & Pints Restaurant & Brewery,,Oxford,CT,06478
1789,Taylor Brooke Brewery,,Woodstock,CT,06281
1799,Unleashed Brewing Company,,Stonington,CT,06378
1809,Brewery in Planning - REHOBOTH,,Rehoboth Beach,DE,19971
1817,First State Brewing Company,,Middletown,DE,19709
1824,Revelation Craft Brewing,,Georgetown,DE,19947
1842,"Alafia Brewing Company, LLC",,Gibsonton,FL,
1846,Americana Brewery,,Davie,FL,33328
