GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP,ADMIN_PCT,IMPUT_PCT
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of establishments,"Sales ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of sales from administrative records (%),Percent of sales estimated (%)
0400000US06,6,California,,72233,Mobile food services,,2012,428,161611,33906,6662,2048,33.4,10
0400000US06,6,California,,722330,Mobile food services,,2012,428,161611,33906,6662,2048,33.4,10
0400000US06,6,California,,7224,Drinking places (alcoholic beverages),,2012,3197,1959750,485296,118708,34362,27,9.8
0400000US06,6,California,,72241,Drinking places (alcoholic beverages),,2012,3197,1959750,485296,118708,34362,27,9.8
0400000US06,6,California,,722410,Drinking places (alcoholic beverages),,2012,3197,1959750,485296,118708,34362,27,9.8
0400000US06,6,California,,7225,Restaurants and other eating places,,2012,65013,58917511,16743874,4070026,1062930,23.4,11.9
0400000US06,6,California,,72251,Restaurants and other eating places,,2012,65013,58917511,16743874,4070026,1062930,23.4,11.9
0400000US06,6,California,,722511,Full-service restaurants,,2012,28089,28512017,9423933,2307056,548250,26.9,12.3
0400000US06,6,California,,722513,Limited-service restaurants,,2012,27693,24414445,5878487,1411539,417841,21.2,12.9
0400000US06,6,California,,722514,"Cafeterias, grill buffets, and buffets",,2012,621,785649,185309,47551,13440,19.8,4.7
0400000US06,6,California,,722515,Snack and nonalcoholic beverage bars,,2012,8610,5205400,1256145,303880,83399,15.6,6.4
0400000US08,8,Colorado,,72,Accommodation and food services,,2012,12744,13617654,3994605,979620,240484,16,9.2
0400000US08,8,Colorado,,721,Accommodation,,2012,1556,4034850,1076970,269007,45735,4.2,9.8
0400000US08,8,Colorado,,7211,Traveler accommodation,,2012,1312,3870085,1036324,261800,44365,3.3,10.1
0400000US08,8,Colorado,,72111,Hotels (except casino hotels) and motels,,2012,1151,3258977,889646,227425,39490,3.7,10.7
